sno,personId,MaxEducation,PrimaryOccupation,Stage,AnnualIncome,leadquality
0,0035w0000356oxoAAA,Doctorate,Salaried,Proposal/Price Quote,10000,Best
1,0035w0000356ozcAAA,Undergraduate,Salaried,follow-up,77000,Poor
2,0035w0000356oy0AAA,Doctorate,Salaried,Negotiation/Review,40000,Average
3,0035w0000356otbAAA,Doctorate,Salaried,follow-up,43000,Poor
4,0035w0000356p1AAAQ,Doctorate,Salaried,follow-up,85000,Best
5,0035w0000356oxXAAQ,Postgraduate,Business,follow-up,79000,Poor
6,0035w0000356oxjAAA,Doctorate,Salaried,Closed Lost,85000,Best
7,0035w0000356oy2AAA,Doctorate,Salaried,Prospecting,68000,Poor
8,0035w0000356p0EAAQ,Undergraduate,Salaried,Proposal/Price Quote,78000,Poor
9,0035w0000356p0bAAA,Postgraduate,Salaried,Closed Lost,89000,Poor
10,0035w0000356ou4AAA,Undergraduate,Salaried,follow-up,52000,Best
11,0035w0000356ouaAAA,Secondary school,Self employed,Proposal/Price Quote,14000,Average
12,0035w0000356p1FAAQ,Doctorate,Salaried,Closed Lost,50000,Poor
13,0035w0000356oxeAAA,Secondary school,Self employed,follow-up,33000,Poor
14,0035w0000356p1HAAQ,Doctorate,Salaried,Closed Lost,78000,Poor
15,0035w0000356ow9AAA,Undergraduate,Salaried,follow-up,40000,Best
16,0035w0000356owDAAQ,Doctorate,Salaried,follow-up,85000,Poor
17,0035w0000356owsAAA,Doctorate,Salaried,follow-up,44000,Best
18,0035w0000356ozmAAA,Undergraduate,Salaried,Prospecting,47000,Poor
19,0035w0000356oucAAA,Undergraduate,Salaried,Closed Lost,60000,Average
20,0035w0000356nAtAAI,Postgraduate,Business,Closed Lost,66000,Average
21,0035w0000356otuAAA,Undergraduate,Salaried,Closed Lost,54000,Average
22,0035w0000356nAsAAI,Doctorate,Salaried,follow-up,48000,Poor
23,0035w0000356ozYAAQ,Postgraduate,Salaried,Proposal/Price Quote,89000,Best
24,0035w0000356ouLAAQ,Postgraduate,Business,follow-up,76000,Best
25,0035w0000356ovwAAA,Secondary school,Self employed,Closed Lost,33000,Best
26,0035w0000356ozMAAQ,Undergraduate,Salaried,follow-up,56000,Poor
27,0035w0000356p15AAA,Postgraduate,Business,follow-up,76000,Best
28,0035w0000356ov2AAA,Doctorate,Salaried,follow-up,72000,Poor
29,0035w0000356oz4AAA,Postgraduate,Business,Closed Lost,62000,Best
30,0035w0000356p0QAAQ,Undergraduate,Salaried,follow-up,45000,Poor
31,0035w0000356otrAAA,Postgraduate,Salaried,Proposal/Price Quote,61000,Best
32,0035w0000356ov3AAA,Postgraduate,Business,follow-up,84000,Average
33,0035w0000356oxkAAA,Secondary school,Self employed,Negotiation/Review,16000,Average
34,0035w0000356ouJAAQ,Secondary school,Self employed,Negotiation/Review,12000,Poor
35,0035w0000356otyAAA,Undergraduate,Salaried,Closed Lost,80000,Best
36,0035w0000356ow4AAA,Postgraduate,Salaried,Closed Lost,57000,Average
37,0035w0000356ow1AAA,Undergraduate,Salaried,Proposal/Price Quote,83000,Average
38,0035w0000356oyNAAQ,Undergraduate,Salaried,follow-up,68000,Average
39,0035w0000356otYAAQ,Elementary school,Self employed,Negotiation/Review,22000,Average
40,0035w0000356ozgAAA,Undergraduate,Salaried,Closed Lost,73000,Poor
41,0035w0000356p18AAA,Undergraduate,Salaried,follow-up,49000,Average
42,0035w0000356ozdAAA,Postgraduate,Business,follow-up,79000,Average
43,0035w0000356oyxAAA,Secondary school,Self employed,Closed Lost,24000,Average
44,0035w0000356ouqAAA,Secondary school,Self employed,Closed Lost,6000,Best
45,0035w0000356ouNAAQ,Postgraduate,Business,follow-up,85000,Best
46,0035w0000356otfAAA,Doctorate,Salaried,Closed Lost,83000,Average
47,0035w0000356p18AAA,Undergraduate,Salaried,follow-up,49000,Average
48,0035w0000356oz9AAA,Undergraduate,Salaried,Proposal/Price Quote,62000,Average
49,0035w0000356p0qAAA,Undergraduate,Salaried,follow-up,84000,Poor
50,0035w0000356owmAAA,Elementary school,Unemployed,follow-up,1000,Poor
51,0035w0000356owkAAA,Doctorate,Salaried,follow-up,77000,Best
52,0035w0000356oyxAAA,Secondary school,Self employed,Closed Lost,24000,Average
53,0035w0000356ozqAAA,Secondary school,Self employed,Proposal/Price Quote,1000,Poor
54,0035w0000356ovvAAA,Undergraduate,Salaried,Closed Lost,88000,Best
55,0035w0000356oxiAAA,Undergraduate,Salaried,follow-up,60000,Poor
56,0035w0000356ozJAAQ,Secondary school,Self employed,Negotiation/Review,34000,Best
57,0035w0000356p1NAAQ,Postgraduate,Salaried,follow-up,50000,Poor
58,0035w0000356ovtAAA,Secondary school,Unemployed,Closed Won,1000,Poor
59,0035w0000356ow5AAA,Secondary school,Self employed,Closed Lost,31000,Poor
60,0035w0000356ouTAAQ,Postgraduate,Business,Closed Lost,88000,Poor
61,0035w0000356ovkAAA,Postgraduate,Business,follow-up,86000,Best
62,0035w0000356p16AAA,Postgraduate,Salaried,Closed Lost,51000,Best
63,0035w0000356ovvAAA,Undergraduate,Salaried,Closed Lost,88000,Best
64,0035w0000356ozSAAQ,Undergraduate,Salaried,follow-up,85000,Average
65,0035w0000356oyBAAQ,Undergraduate,Salaried,follow-up,49000,Poor
66,0035w0000356oyRAAQ,Postgraduate,Business,follow-up,89000,Best
67,0035w0000356p04AAA,Postgraduate,Salaried,follow-up,30000,Best
68,0035w0000356ovqAAA,Undergraduate,Salaried,Closed Lost,84000,Poor
69,0035w0000356owIAAQ,Doctorate,Salaried,Proposal/Price Quote,74000,Best
70,0035w0000356oukAAA,Postgraduate,Business,Proposal/Price Quote,83000,Average
71,0035w0000356ow8AAA,Undergraduate,Salaried,Negotiation/Review,52000,Average
72,0035w0000356p0JAAQ,Postgraduate,Business,follow-up,84000,Best
73,0035w0000356nArAAI,Secondary school,Unemployed,Prospecting,3000,Best
74,0035w0000356owpAAA,Undergraduate,Salaried,Closed Lost,88000,Poor
75,0035w0000356ovvAAA,Undergraduate,Salaried,Closed Lost,88000,Best
76,0035w0000356p0nAAA,Undergraduate,Salaried,follow-up,71000,Average
77,0035w0000356p18AAA,Undergraduate,Salaried,follow-up,49000,Average
78,0035w0000356oxqAAA,Doctorate,Salaried,Prospecting,72000,Poor
79,0035w0000356oxJAAQ,Undergraduate,Salaried,Closed Lost,40000,Best
80,0035w0000356ouhAAA,Secondary school,Unemployed,Proposal/Price Quote,1000,Average
81,0035w0000356ouHAAQ,Undergraduate,Self employed,follow-up,90000,Poor
82,0035w0000356p0GAAQ,Undergraduate,Salaried,follow-up,79000,Average
